objectApiName;componentName;settingType;targetName;template
Account;Accord_ENGIE_Home_Services__c;fieldLabel;;Accord actions Co. {{Brand_Acronym}} via Mail
Account;Accord_ENGIE_Home_Services__c;helpText;;Accord du client pour recevoir des propositions commerciales par Email de la part de {{Brand_Name}}.
Account;Accord_partenaires_et_filiales_EHS__c;helpText;;Accord du client pour recevoir des propositions commerciales par Email de la part des partenaires de {{Brand_Name}}.
Account;Client_EHS__c;fieldLabel;;Client {{Brand_Acronym}}
Account;Identifiant_Lead_EHS__c;fieldLabel;;Identifiant Lead {{Brand_Acronym}}
Account;InterlocuteurPrincipalEHS__c;description;;Sprint 11 - Interlocuteur principal en charge de la relation de compte chez {{Brand_Acronym}}
Account;InterlocuteurPrincipalEHS__c;fieldLabel;;Interlocuteur principal {{Brand_Acronym}}
Account;InterlocuteurPrincipalEHS__c;helpText;;Interlocuteur principal en charge de la relation de compte chez {{Brand_Acronym}}.
Account;InterlocuteurPrincipalEHS__c;relatedListLabel;;Accounts (Interlocuteur principal {{Brand_Acronym}})
InformationCommerciale__c;InterlocuteurPrincipalEHSClient__c;description;;Sprint 11 - Affichage en texte du champ Interlocuteur principal {{Brand_Acronym}} du client.
InformationCommerciale__c;InterlocuteurPrincipalEHSClient__c;fieldLabel;;Interlocuteur principal {{Brand_Acronym}} du client
Account;InterlocuteurSecondaireEHS__c;description;;Sprint 11 - Interlocuteur secondaire en charge de la relation de compte chez {{Brand_Acronym}}
Account;InterlocuteurSecondaireEHS__c;fieldLabel;;Interlocuteur secondaire {{Brand_Acronym}}
Account;InterlocuteurSecondaireEHS__c;helpText;;Interlocuteur secondaire en charge de la relation de compte chez {{Brand_Acronym}}.
Account;InterlocuteurSecondaireEHS__c;relatedListLabel;;Accounts (Interlocuteur secondaire {{Brand_Acronym}})
InformationCommerciale__c;InterlocuteurSecondaireEHSClient__c;description;;Sprint 11 - Affichage en texte du champ Interlocuteur secondaure {{Brand_Acronym}} du client.
InformationCommerciale__c;InterlocuteurSecondaireEHSClient__c;fieldLabel;;Interlocuteur secondaire {{Brand_Acronym}}
Account;Lead_AD_RaisonCloture__c;picklistLabel;Transfert agence –déjà client EHS;Transfert agence –déjà client {{Brand_Acronym}}
Account;Motif_non_conversion__c;picklistLabel;Produit non vendu par EHS;HCi - Produit non vendu par {{Brand_Acronym}}
Account;Numero_Tier_EHS__c;fieldLabel;;Numéro Tier {{Brand_Acronym}}
Account;Numero_Tier_EHS__c;relatedListLabel;;Accounts (Numéro Tier {{Brand_Acronym}})
Account;Opt_In_Engie_Home_Services__c;fieldLabel;;Opt In {{Brand_Name}}
Account;Passe_par_Site_web_EHS__c;fieldLabel;;Passé par Site web {{Brand_Acronym}}
Account;Sous_contrat_EHS__c;fieldLabel;;Sous contrat {{Brand_Acronym}}
